exhid,exhname,url,description,product_categories,booths,websiteValue,instagramValue,facebookValue,twitterValue,linkedInValue,phoneValue,faxValue,hasAddressData,hasWebsiteData,hasTwitter,hasLinkedIn,hasFacebook,hasInstagram,hasEmail,hasPhone,hasFax
219,Themed Entertainment Association (TEA),https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=219,,,North/South Building - Level 1 — 669 — Show Production & Design | North Concourse - Level 2 — NC9110,,,,,,,,false,false,false,false,false,false,false,false,false
10702,Baked by Chudleigh's,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10702,"At Chudleigh’s, we bring a taste of joy to every bite. As a family-founded brand with deep roots in crafting wholesome, indulgent baked treats, we specialize in snacks that delight park-goers, thrill-seekers, and families on the move. From the heart of our orchards to amusement parks across the world, our products are designed for moments of pure enjoyment — no utensils, no fuss, just flavor-packed convenience.",,North Concourse - Level 2 — NC9210 — Street Market,,https://www.instagram.com/bakedbychudleighs/,,,https://www.linkedin.com/company/chudleighsbakery/posts/?feedView=all,,,false,false,false,true,false,true,false,false,false
10746,Scoot Frozen Lemonade,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10746,"In 1995, Gary Mac Herring, Jr. founded Mary Mack's, Inc. with a small Hawaiian Shaved Ice stand in his hometown of 600 people. As demand grew, he launched online syrup sales—and today, Mary Mack's has become a leading manufacturer of shaved ice and snow cone syrups under the Hawaiian Shaved Ice® brand, all crafted in our North Carolina facility. Our products have been celebrated by The Wall Street Journal as \""Best Overall,\"" and featured by major outlets like TV Guide, BuzzFeed, CNN, and Good M",Food & Beverages > Beverages | Food & Beverages > Ice Cream/Candy/Sweets | Food & Beverages > Vending Machines,North Concourse - Level 2 — NC9211 — Street Market,,https://www.instagram.com/hey.scoot?utm_source=ig_web_button_share_sheet&igsh=MXhsNmJ1M295bm5lMw==,https://www.facebook.com/hey.scoot,,https://www.linkedin.com/company/3211834/admin/dashboard/,,,false,false,false,true,true,true,false,false,false
10742,San Bernardo Ice Cream,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10742,,,North Concourse - Level 2 — NC9212 — Street Market,,,,,,,,false,false,false,false,false,false,false,false,false
10221,Beer Tubes,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10221,"Beer Tubes™ are the industry leader in quality, durability, designs, and attention to detail. Combining quality  materials with a marketable concept ensures returns on your Beer Tubes™ investment. All products consist of a  simple 3-part design: a tube, tap, and base, which can all be purchased separately. These interchangeable parts  allow for efficiency in serving, cleaning, and replacing parts.",Food & Beverages > Foodservice Supplies,North Concourse - Level 2 — NC9213 — Street Market,,,,,,,,false,false,false,false,false,false,false,false,false
10701,Soft Swirl Ice Cream,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10701,"Hassle Free Soft Serve Ice Cream System. No sanitation is required, no cleaning, prepacked ice cream portion controlled, product never touches the machine, fast ROI for operators, low cost of entry for operators.",Food & Beverages > Ice Cream/Candy/Sweets,North Concourse - Level 2 — NC9214 — Street Market,,,,,https://www.linkedin.com/company/soft-swirl/,,,false,false,false,true,false,false,false,false,false
10719,NantBioRenewables,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10719,"NantBioRenewables, based in Gadsden, AL, creates innovative, sustainable packaging for food service, retail, and industrial markets. Its Wave Ware™ line uses patented Ocean Calcium Sand for carbon footprint–negative, compostable products with top-tier performance. By merging breakthrough tech with environmental restoration, NantBioRenewables helps industries shift toward responsible packaging without compromise.",,North Concourse - Level 2 — NC9215 — Street Market,,https://www.instagram.com/nantbiorenewables,https://www.facebook.com/NANTBioRenewables/,,https://www.linkedin.com/company/nantbiorenewables-llc/,,,false,false,false,true,true,true,false,false,false
10637,Viña Concha y Toro USA,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10637,,,North/South Building - Level 1 — 3456 — Food & Beverage | North Concourse - Level 2 — NC9216 — Street Market,,,,,,,,false,false,false,false,false,false,false,false,false
10741,"KaTom Restaurant Supply, Inc.",https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10741,,Food & Beverages > Beverage Preparation Equipment | Food & Beverages > Food Preparation Equipment | Food & Beverages > Foodservice Supplies,North Concourse - Level 2 — NC9217 — Street Market,,,,,,,,false,false,false,false,false,false,false,false,false
10751,US Foods,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10751,"US Foods® is one of America’s great food companies and a leading foodservice distributor, partnering with approximately 250,000 restaurants and foodservice operators to help their businesses succeed. With 30,000 employees and more than 70 locations, we provide our customers with a broad and innovative food offering and a comprehensive suite of e-commerce, technology, and business solutions.",Food & Beverages > Entrees/Hot/Cold | Food & Beverages > Food Preparation Equipment | Food & Beverages > Popcorn/Pretzels/Snack Food,North Concourse - Level 2 — NC9218 — Street Market,,https://www.instagram.com/us_foods/,https://www.facebook.com/usfoods,,https://www.linkedin.com/company/usfoods,,,false,false,false,true,true,true,false,false,false
