exhid,exhname,url,description,product_categories,booths,websiteValue,instagramValue,facebookValue,twitterValue,linkedInValue,phoneValue,faxValue,hasAddressData,hasWebsiteData,hasTwitter,hasLinkedIn,hasFacebook,hasInstagram,hasEmail,hasPhone,hasFax
506,Tentnology Co.,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=506,,,Outdoor Exhibits — 7030 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
7566,American Tent,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=7566,,,Outdoor Exhibits — 7040 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
10289,Dream Park,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10289,"DreamPark is building downloadable theme parks that work in most public venues from mall and hotel common areas, to large empty warehouses, and soccer fields, DreamPark can bring a magical experience just about anywhere.",Games & Devices > Arcade & Video | Hi-Tech Equipment & Services > Virtual Reality | Participatory Play Equipment > Children's Play Elements | Theatrical Equipment & Supplies > Haunt Supplies,Outdoor Exhibits — 7050 — Outdoor Lot,,https://www.instagram.com/visitdreampark,,https://x.com/visitdreampark,https://www.linkedin.com/company/dreampark-immersive/,,,false,false,true,true,false,true,false,false,false
10748,AStation,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10748,"AStation is World’s leading XR entertainment company—a pioneer in “techtainment” and location-based entertainment (LBE). Enterverse (TM) is AStation proprietary cutting-edge technology that allows your guests to ENTER NEW WORLDS never possible before.Immersive location based adventure redefined. Each experience is tailored to the physical and cultural context of your venue.  No two locations are the same.Relive history, see fantasy, and experience culture in ways never possible before.",Computer Systems/Software > Software | Hi-Tech Equipment & Services > Film/Music Production | Hi-Tech Equipment & Services > Simulation | Theatrical Equipment & Supplies > Audio/Visual,Outdoor Exhibits — 7060 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
10138,Batbox,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10138,,,Outdoor Exhibits — 7130 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
10524,Home Run Dugout,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10524,"Home Run Dugout (HRD) is a one-of-a-kind baseball entertainment concept featuring patented soft-toss Batting Bay technology that delivers the thrill of hitting a home run in a safe, social setting. Backed by experienced operators and well-capitalized investors—including Nolan Ryan—HRD opened its flagship venue in Houston in 2023 and has since expanded through both owned and licensed locations.  HRD won the 2024 IAAPA Brass Ring Award for Best Exhibit.",Games & Devices > Arcade & Video | Hi-Tech Equipment & Services > Simulation | Participatory Play Equipment > Batting/Pitching Machines/Cages,Outdoor Exhibits — 7140 — Outdoor Lot,,https://www.instagram.com/homerundugout/,https://www.facebook.com/HomeRunDugout,https://x.com/homerundugout,https://www.linkedin.com/company/homerundugout/,,,false,false,true,true,true,true,false,false,false
10745,Xenia,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10745,"Xenia is a mobile-first operations platform for theme parks, amusement parks, and FECs. We help operators streamline tasks, ensure safety compliance, and improve communication while delivering consistent guest experiences. With digital inspections, seasonal training, compliance tracking, and real-time reporting, Xenia drives accountability, maintains standards, and boosts guest satisfaction. Our platform keeps teams inspection-ready and delivers safe, memorable experiences.",Computer Systems/Software > Software,Outdoor Exhibits — 7150 — Outdoor Lot,,,,,https://www.linkedin.com/company/xenia-app/,,,false,false,false,true,false,false,false,false,false
288,Rides-4-U,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=288,"Distributor of new and used Amusements rides as well as LED light packages, parts, and much more!",Rides (Dry) > Major | Rides (Dry) > Manufacturer's Representative | Rides (Dry) > Roller Coasters | Rides (Dry) > Used Equipment,North/South Building - Level 1 — 5706 — Rides & Equipment | Outdoor Exhibits — 7160 — Outdoor Lot | Outdoor Exhibits — 7170 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
288,Rides-4-U,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=288,"Distributor of new and used Amusements rides as well as LED light packages, parts, and much more!",Rides (Dry) > Major | Rides (Dry) > Manufacturer's Representative | Rides (Dry) > Roller Coasters | Rides (Dry) > Used Equipment,North/South Building - Level 1 — 5706 — Rides & Equipment | Outdoor Exhibits — 7160 — Outdoor Lot | Outdoor Exhibits — 7170 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
10723,Trikke Professional Mobility,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10723,"Trikke Professional Mobility designs and manufactures innovative three-wheeled, electric patrol and utility vehicles for large venues such as amusement parks, resorts, and entertainment complexes. Our flagship model, the Trikke Positron, offers quiet, zero-emission operation, cargo capability for essential equipment, agility in crowded spaces, and extended range for all-day operation.",Consultants > Security | People-Moving Equipment > Carts/Cycles | Security Equipment > Services,Outdoor Exhibits — 7210 — Outdoor Lot,,https://instagram.com/trikketechinc,https://www.facebook.com/TrikkeMobility,https://www.twitter.com/TrikkeMobility,https://www.linkedin.com/showcase/trikke-professional-mobility,,,false,false,true,true,true,true,false,false,false
10699,Bounce House Risk,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10699,"Specialized Insurance for the Entertainment and Attraction Industry Bounce House Risk was created to protect the businesses that make fun possible. We serve the owners and operators of amusement, attraction, and rental companies across the country – people who take on real risks every time they set up equipment, welcome guests, or open their doors to families",Insurance > Insurance,Outdoor Exhibits — 7220 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
10682,Puttshack,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10682,"Puttshack is an industry-leading tech-infused mini golf experience that combines automated gameplay with curated food & drink, and a vibrant atmosphere. Puttshack offers cutting-edge 9-hole mini golf courses and interactive Challenge Hole Suites—private, high-tech spaces perfect for groups and events. Whether competing or celebrating, guests enjoy a fun, elevated outing that’s equal parts game, flavor, and vibe.",Construction > Family Entertainment | Construction > Miniature Golf Courses | Participatory Play Equipment > Miniature Golf,Outdoor Exhibits — 7230 — Outdoor Lot,,https://www.instagram.com/puttshack/,https://www.facebook.com/Puttshack/,,https://www.linkedin.com/company/puttshack/,,,false,false,false,true,true,true,false,false,false
691,Endureed,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=691,"Endureed has set the global standard in authentic, high-performance thatch roofing for over 25 years. Our designs replicate the natural beauty of palm and reed while delivering unmatched safety and durability — including a Class A fire rating, hurricane resistance, zero maintenance, and a 20-year warranty.  Trusted by luxury resorts, architects, theme parks, and zoos worldwide, Endureed combines the craft of traditional thatching with modern innovation to create lasting, unforgettable spaces.",Construction > Amusement Facilities | Displays & Sets > Amusement Buildings/Fronts,Outdoor Exhibits — 7240 — Outdoor Lot,,https://www.instagram.com/endureedthatch/,https://www.facebook.com/Endureed,,https://www.linkedin.com/company/global-innovation---endureed-thatch,,,false,false,false,true,true,true,false,false,false
7191,iRoboGoalie & ALFA Baseball,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=7191,"We, Leverage Science and Technologies Limited (LSTL), are a market leader in sports robotics and simulation systems, operating from India and Dubai. Blending robotics, vision AI, and engineering, we craft memorable, immersive experiences through iRoboGoalie, the world’s most advanced robot goalkeeper, and Alfa, a multi-sport simulator for cricket and baseball — crowd magnets and proven money spinners for theme parks, resorts, and game zones.",Participatory Play Equipment > Batting/Pitching Machines/Cages | Participatory Play Equipment > Interactive Sports/Zip Lines,Outdoor Exhibits — 7250 — Outdoor Lot,,https://www.instagram.com/leverage_cricket,https://facebook.com/CricketBowlingMachine,https://x.com/LeverageCricket,https://www.linkedin.com/company/lstl/,,,false,false,true,true,true,true,false,false,false
10737,Avaden LLC,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10737,,,Outdoor Exhibits — 7310 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
10724,Scent Works K9 LLC,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10724,,,Outdoor Exhibits — 7320 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
10646,Alumi Games,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10646,,,Outdoor Exhibits — 7330 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
10645,Intelliplay,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10645,"Intelliplay is a guest-engagement and attraction gamification platform built for trampoline parks and family entertainment centers. Powered by IntelliBand® smart wristbands, it tracks each guest’s location and activity in real time and turns every visit into friendly competition with achievements, rankings, and live leaderboards. Beyond play, Intelliplay streamlines operations by unifying time management, access control (i.e. permissive use), and cashless payments.",Admission/Financial Equipment > Wristbands | Computer Systems/Software > Software | Computer Systems/Software > Web-Based Services | Security Equipment > Tracking Systems,Outdoor Exhibits — 7340 — Outdoor Lot,,,,,https://www.linkedin.com/company/intelliplay-inc,,,false,false,false,true,false,false,false,false,false
10721,Workwear Outfitters,https://iaapaexpo25.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10721,,,Outdoor Exhibits — 7350 — Outdoor Lot,,,,,,,,false,false,false,false,false,false,false,false,false
